,Model,Sampling_Method,PCA_Used,Normalized,One Hot Encoder,Number_of_Features,Accuracy_score,Precision_score,Recall_score
116,DecisionTree,Oversampling,No,No,Yes,8 without duplicate,0.7716049382716049,0.7068965517241379,0.9647058823529412
117,RandomForest,Oversampling,No,No,Yes,8 without duplicate,0.9259259259259259,0.9620253164556962,0.8941176470588236
118,XGBClassifier,Oversampling,No,No,Yes,8 without duplicate,0.9074074074074074,0.9605263157894737,0.8588235294117647
119,Support Vector Machine,Oversampling,No,No,Yes,8 without duplicate,0.47530864197530864,0.5,0.24705882352941178
120,LogisticRegression,Smote,No,No,No,6 from Kbest,0.7839506172839507,0.7019230769230769,0.948051948051948
121,DecisionTree,Smote,No,No,No,6 from Kbest,0.808641975308642,0.7211538461538461,0.974025974025974
122,RandomForest,Smote,No,No,No,6 from Kbest,0.7839506172839507,0.7560975609756098,0.8051948051948052
123,XGBClassifier,Smote,No,No,No,6 from Kbest,0.7839506172839507,0.7560975609756098,0.8051948051948052
124,Support Vector Machine,Smote,No,No,No,6 from Kbest,0.4506172839506173,0.4552238805970149,0.7922077922077922
125,LogisticRegression,Smote,No,No,No,8 from RandomForest,0.7407407407407407,0.6952380952380952,0.8795180722891566
126,DecisionTree,Smote,No,No,No,8 from RandomForest,0.8148148148148148,0.7476635514018691,0.963855421686747
127,RandomForest,Smote,No,No,No,8 from RandomForest,0.8703703703703703,0.8522727272727273,0.9036144578313253
128,XGBClassifier,Smote,No,No,No,8 from RandomForest,0.808641975308642,0.8333333333333334,0.7831325301204819
129,Support Vector Machine,Smote,No,No,No,8 from RandomForest,0.5246913580246914,0.5625,0.3253012048192771
130,LogisticRegression,Oversampling,No,No,No,6 from Kbest,0.7283950617283951,0.6460176991150443,0.948051948051948
131,DecisionTree,Oversampling,No,No,No,6 from Kbest,0.7345679012345679,0.6517857142857143,0.948051948051948
132,RandomForest,Oversampling,No,No,No,6 from Kbest,0.8148148148148148,0.8405797101449275,0.7532467532467533
133,XGBClassifier,Oversampling,No,No,No,6 from Kbest,0.7962962962962963,0.8235294117647058,0.7272727272727273
134,Support Vector Machine,Oversampling,No,No,No,6 from Kbest,0.5123456790123457,0.49230769230769234,0.8311688311688312
135,LogisticRegression,Oversampling,No,No,No,8 from RandomForest,0.7160493827160493,0.6545454545454545,0.9
136,DecisionTree,Oversampling,No,No,No,8 from RandomForest,0.7592592592592593,0.6814159292035398,0.9625
137,RandomForest,Oversampling,No,No,No,8 from RandomForest,0.8703703703703703,0.8933333333333333,0.8375
138,XGBClassifier,Oversampling,No,No,No,8 from RandomForest,0.8765432098765432,0.9054054054054054,0.8375
139,Support Vector Machine,Oversampling,No,No,No,8 from RandomForest,0.5,0.4927536231884058,0.425
140,LogisticRegression,No,No,Yes,Yes,7 from Kbest,0.8632478632478633,0.8367346938775511,1.0
141,DecisionTree,No,No,Yes,Yes,7 from Kbest,0.8547008547008547,0.8350515463917526,0.9878048780487805
